93_927_/01;Les arabes dans l'histoire;LEWIS Bernard;Bruxelles;Office de publicité;1958;191;Histoire des arabes;346
93_927_/02;Langages arabes du présent;BERQUE Jacques;Paris;Gallimard;1974;392;Histoire des arabes;353
93_927_/03;L'idéologie arabe contemporaine;LAROUI Abdellah;Paris;Maspero;1977;238;Histoire des arabes;7763
93_927_/04;Les arabes;RODINSON Maxime;Paris;Puf;1979;174;Histoire des arabes;1096
93_927_/05;La crise des intellectuels arabes: traditionalisme ou histocisme? ;LAROUI Abdellah;Paris;Maspero;1978;221;Histoire des arabes;736
93_927_/06;Les arabes d'hier à demain;BERQUE Jacques;Paris;Seuil;1969;331;Histoire arabe;1016
93_927_/07;Les arabes d'hier à demain;BERQUE Jacques;Paris;Seuil;1969;331;Histoire arabe;352
93_927_/08;La personnalité et le devenir arabo-islamiques;DJAIT Hichem;Paris;Seuil;1974;301;Histoire arabe;675
93_927_/09;Les arabes: histoire et civilisation des arabes et du monde musulman des origines à la chute du Royaume de Grenade;BERGE Marc;Paris;Lidis;1978;706;Histoire arabe;671
93_927_/10;Arabies: entretien avec Mirès Akar;BERQUE Jacques;Paris;Stock;1978;309;Histoire arabe;677
93_927_/11;De l'Euphrate à l'Atlas. t1: espaces et moments;BERQUE Jacques;Paris;Sindbad;1978;422;Histoire arabe;4505
93_927_/12;De l'Euphrate à l'Atlas. t2: histoire et nature;BERQUE Jacques;Paris;Sindbad;1978;731;Histoire arabe;4506
93_927_/13;Les arabes au présent;HUSSEIN Mahmoud;Paris;Seuil;1974;189;Histoire arabe;1018
93_927_/14;Langages arabes du présent;BERQUE Jacques;Paris;Gallimard;1974;392;Histoire arabe;690
93_927_/15;Essai sur l'histoire des arabes. t1;CAUSSIN De Perceval;Graz;Akademische druck;1967;603;Histoire des arabes;11746
93_927_/16;Essai sur l'histoire des arabes. t2;CAUSSIN De Perceval;Graz;Akademische druck;1967;424;Histoire des arabes;11747
93_927_/17;Essai sur l'histoire des arabes. t3;CAUSSIN De Perceval;Graz;Akademische druck;1967;702;Histoire des arabes;11748
93_927_/18;Les arabes des marais: Tigre et Euphrate;THESIGER Wilfred;Paris;Plon;1959;284;Histoire des arabes;11433
93_927_/19;l'Islam: origine et essor du monde arabe;KALISKY René;;Marabout;1980;320;Histoire des arabes;13769
93_927_/20;L'âge d'or des Abbassides;TABARI;Paris;Sindbad;1983;206;Histoire des arabes;14231
93_927_/22;Les assassins: terrorisme et politique dans l'Islam médiéval;LEWIS Bernard;Bruxelles;Complexe;1984;222;Histoire des arabes;13708
93_927_/24;Chroniques arabes des croisades = storici arabi delle crociate;GABRIELI Francesco;Paris;Sindbad;1977;408;Histoire;11666
93_927_/25t1;Histoire générale des arabes: leur empire, leur civilisation leurs écoles philosophiques, scientifiques;SEDILLOT L.-A;Paris;d'Aujourd'hui;1984;406;Histoire des arabes;14951
93_927_/25t2;Histoire générale des arabes: leur empire, leur civilisation leurs écoles philosophiques, scientifiques et littéraires;SEDILLOT L.-A;Paris;d'Aujourd'hui;1984;456;Histoire des arabes;14952
93_927_/26;Arabes et juifs dans l'histoire;SOUSSE Ahmed;Lausanne;Sartec;1900;132;Histoire: arabes, juifs;12683
93_927_/27;Avec Bonaparte: en Egypte et en Syrie (1798-1800);BERNOYER François;;Curandera;1981;202;Histoire des arabes;15550
93_927_/30;Histoire des peuples arabes;HOURANI Albert;Paris;Seuil;1993;708;Histoire des arabes;25239
93:297/12;Le gihad dans l'Islam médiéval : le  combat sacré  des origines au XIIè siècle.;MORABIA Alfred;Paris;A. Michel;1993;576;Histoire de l'islam;25237
93.23/03bis;L'imagination dialectique: histoire de l'école de Francfort (1923-1950);JAY Martin;Paris;Payot;1977;424;Critique historique;17004
93.251/01;The structure of scientific revolutions. vol2;KUHN Thomas S;United States;Ucp;1970;210;Sciences, technique et organisation des;10986
93:008/01t1;Le siècle des lumières en province: académies et académiciens provinciaux, 1680-1789. t1;ROCHE Daniel;Paris;Mouton;1978;396;Histoire;6722
93:008/02t2;Le siècle des lumières en province: académies et académiciens provinciaux, 1680-1789. t2;ROCHE Daniel;Paris;Mouton;1978;520;Histoire;6723
93:297/01;Les secrets de l'Islam: de l'ordre des assassins aux frères musulmans;AZIZ Philippe;Paris;R. Laffont;1983;352;Histoire de l'islam;14755
93:297/02;Les Omayades;TABARI;Paris;Sindbad;1983;284;Histoire de l'islam;11094
93:297/02bis;Les Omayyades: extrait de la chronique de Tabari;TABARI;Paris;Sindbad;1983;284;Histoire de l'islam;23917
93:297/03;Comment l'Islama découvert l'Europe = the muslim discovery of europe;LEWIS Bernard;Paris;La Découverte;1984;350;Histoire de l'islam;13229
93:297/04t1;Les penseurs de l'Islam: les souverains l'histoire et la philosophie politique. t1;VAUX Carra de;Lausanne;Roth-Hotz reprise;1984;384;Histoire de l'islam;16000
93:297/04t2;Les penseurs de l'Islam: les géographes, les sciences mathématiques et naturelles. t2;VAUX Carra de;Paris;Roth-hotz reprise;1984;402;Histoire de l'islam;16001
93:297/04t3;Les penseurs de l'Islam: l'exégèse, la tradition et la jusprudence. t3;VAUX Carra de;Paris;Roth-hotz reprise;1984;426;Histoire de l'islam;16002
93:297/04t4;Les penseurs de l'Islam: la scolastique, la théologie et la mystique, la musique. t4;VAUX Carra de;Paris;Roth-hotz reprise;1984;384;Histoire de l'islam;16003
93:297/04t5;Les penseurs de l'Islam: les sectes le libéralisme moderne. t5;VAUX Carra de;Paris;Roth-hotz reprise;1984;432;Histoire de l'islam;16004
93:297/05;Le retour de l'Islam;LEWIS Bernard;Paris;Gallimard;1985;430;Histoire de l'islam;16188
93:297/06;Territoire d'islam;KEMP Percy;Paris;Sindbad;1982;184;Histoire de l'islam;14229
93:297/07;Race et couleur en pays d'islam;LEWIS Bernard;Paris;Payot;1982;163;Histoire de l'islam;11615
93:297/08;Introduction à l'histoire du monde musulman médiéval VIIè-XVè siècle;CAHEN C;Paris;Maisonneuve;1983;216;Histoire de l'islam;10987
93:297/09;Le mendiant et le combattant: l'institution de l'Islam;DECOBERT Christian;Paris;Seuil;1991;420;Histoire de l'islam;21275
93:297/10;Croisade d'hier d'jihad d'aujourd'hui;WEBER Edgard;Paris;Cerf;1989;344;Histoire de l'islam;23809
93:297/11;Les grandes dates de l'Islam;MANTRAN Robert;Paris;Larousse;1990;288;Histoire de l'islam;23781
93/01;L'histoire: les grands mouvements de l'histoire à travers le temps, les civilisations, les religions;TOYNBEE Arnold;Paris;Elsevier/Séquoia;1978;689;Histoire;11642
93/01bis;L'histoire: les grands mouvements de l'histoire à travers le temps, les civilisations, les religions;TOYNBEE Arnold;Paris;Bordas;1983;554;Histoire;14601
93/02t1;Le monde antique: de la préhistoire à l'histoire. t1;MEULEAU Maurice;Paris;Bordas;1971;608;Histoire;428
93/02t10;Nos contemporains: puissance et effondrement des fascismes. t10;RONCAYOLO Marcel;Paris;Bordas;1971;450;Histoire;455
93/02t11;Nos contemporains: guerre et paix à l'âge atomique. t11;RONCAYOLO Marcel;Paris;Bordas;1972;1128;Histoire;456
93/02t2;Le monde antique: civilisations d'extrême-orient. t2;MEULEAU Maurice;Paris;Bordas;1971;910;Histoire;429
93/02t3;Epoques médiévales (Vè-XVè): l'occident barbare et carolingien. t3;PIETRI Luce;Paris;Bordas;1971;608;Histoire;430
93/02t4;Epoques médiévales (Vè-XVè) siècle: l'occident médiéval à son apogée (XIIIè siècle). t4;PIETRI Luce;Paris;Bordas;1971;608;Histoire;431
93/02t5;Les débuts du monde moderne (XVIè et XVIIè siècles): l'Europe en expansion: routes et idées nouvelles;VENARD Marc;Paris;Bordas;1971;608;Histoire;432
93/02t6;Les débuts du monde moderne (XVIè et XVIIè siècles): le monde face au défi européen. t6;VENARD Marc;Paris;Bordas;1971;608;Histoire;433
93/02t7;Les révolutions européennes et le partage du monde t7: les origines de la révolution économique anglaise;BERGERON Louis;Paris;Bordas;1971;576;Histoire;434
93/02t8;Les révolutions européennes et le partage du monde: Europe industrielle. t8;BERGERON Louis;Paris;Bordas;1972;640;Histoire;435
93/02t9;Nos contemporains: la guerre et la révolution. t9;RONCAYOLO Marcel;Paris;Bordas;1968;640;Histoire;436
93/04;Histoires du temps;ATTALI Jacques;Paris;Fayard;1982;314;Histoire;11214
964/54t5;Le mémorial du Maroc: morcellement et résistance. t5;ESSAKALI Larbi;Rabat;d'Oganisation;1982;288;Histoire du Maroc;13719
93/05;Qu'est-ce que l'histoire? ;CARR Edward Hallet;Paris;La Découverte;1988;233;Histoire;28912
93/05bis;Qu'est-ce que l'histoire? ;CARR Edward Hallet;Paris;La Découverte;1988;233;Histoire;18925
93/06;Les cultures du peuple: rituels, savoirs et résistances au 16è. siècle;DAVIS Natalie;Paris;Aubier/Montaigne;1979;448;Historie: culture;14285
93/92/01;Ibn Khaldoun et ses lecteurs;ABDESSELEM Ahmed;Paris;Puf;1983;128;Biographie;15996
940_728_/01;L'Europe et l'Amérique: a l'époque napoléonienne (1800-1815);GODECHOT Jacques;Paris;Puf;1967;370;Bistoire de l'Europe;17485
940.04/14/13;L'Europe du nord-ouest et du nord aux XVII et XVIIIè siècles;JEANNIN Pierre;Paris;Puf;1969;422;Histoire du moyen-âge;22049
940.05/02;Le monde entre deux guerres (1919-1939);CARTIER Raymond;Paris;Larousse;1975;434;Histoire du monde entre 1919-1939;6415
940.3/01;La première guerre mondiale;RENOUVIN Pierre;Paris;Puf;1976;128;Histoire de la première guerre mondiale;1451
940.3/02t1;La première guerre mondiale: de Sarajevo à Verdun (1914-1916). t1;VALLUY J.E;Paris;Larousse;1968;322;Histoire de la première guerre mondiale;4408
940.3/02t2;La première guerre mondiale: de Verdun à Rethondes (1916-1918). t2;VALLUY J.E;Paris;Larousse;1968;338;Histoire de la première guerre mondiale;4409
940.53/01;La seconde guerre mondiale;MICHEL Henri;Paris;Puf;1975;128;Histoire de la deuxième guerre mondiale;1450
940.53/02;La guerre en méditerranée 1939 - 1945;  ;Paris;Cnrs;1971;781;Histoire de la deuxième guerre mondiale;9611
940.53/03;Les carnets de la drôle de guerre: (novembre 1939-mars 1940);SARTRE Jean-Paul;;Gallimard;1983;444;Histoire de la deuxième guerre mondiale;11473
940.53/04t1;La seconde guerre mondiale. t1;CARTIER Raymond;Paris;Larousse;1965;386;Histoire de la première guerre mondiale;4410
940.53/04t2;La seconde guerre mondiale. t2;CARTIER Raymond;Paris;Larousse;1965;0;Histoire de la seconde guerre mondiale;4411
940.55/01;Entre la guerre et la paix (1945-1949);CERE Roger;Paris;Puf;1970;128;Histoire de l'Europe depuis 1945;2373
940.55/02;Les dernières années du siècle;ARON Raymond;Paris;Julliard;1984;250;Histoire de l'Europe depuis 1945;19113
949.5/01;L'histoire: programme 1981-1982;  ;Montreuil;Bréal;1980;368;Histoire de la Grèce;16322
940 15/.../07t11.;Etudes sur le XVIIIè siècle: idéologies de la noblesse;MORTIER Roland (éd);Belgique;Pulb;1984;146;Histoire moderne;15537
940/01;La guerre de trente ans;LIVET Georges;Paris;Puf;1972;128;Histoire de l'Europe;1556
940/02;Histoire des corsaires;TOUSSAINT Auguste;Paris;Puf;1978;127;Histoire de l'Europe;1344
940/03;Le siècle des médicis;BEC Christian;Paris;Puf;1977;128;Histoire de l'Europe;1342
940/04;La guerre de cent ans;CONTAMINE Phillipe;Paris;Puf;1977;128;Histoire de l'Europe;2046
940/05;Le siècle de Saint Louis;LABAL Paul;Paris;Puf;1979;128;Histoire de l'Europe;2044
940/06;Le XVIè siècle européen: aspects économiques;MAURO Frédéric;Paris;Puf;1981;391;Histoire de l'Europe;7777
940/07;L'Occident aux XIVè et XVè siècles: les états;GUENEE Bernard;Paris;Puf;1981;339;Histoire de l'Europe;7776
940/08t2;Capitalismes et pouvoir au siècle des lumières. t2: la révolution libérale 1715-1717;LEVY Claude-Frédéric;Paris;Mouton;1979;379;Histoire de l'Europe;8530
940/09t3;Capitalismes et pouvoir au siècle des lumières. t3: la monarchie buissonnière 1718-1723;LEVY Claude-Frédéric;Paris;Mouton;1980;531;Histoire de l'Europe;8531
940/10t1;Enfance de l'Europe Xè-XIIè siècle: l'homme et son espace. t1;FOSSIER Robert;Paris;Puf;1982;605;Histoire d'Europe;13698
940/11t2;Enfance de l'Europe Xè-XIIè siècles: structures et problèmes. t2;FOSSIER Robert;Paris;Puf;1982;1125;Histoire de l'Europe;13699
940/12;Charles quint;LAPEYRE Henri;Paris;Puf;1973;128;Biographie de quint;2050
940/13;Behemoth;HOBBES Thomas;Paris;Plon;1989;260;Histoire de l'Europe;20056
940/14;Expansion européenne et décolonisation de 1870 à nos jours;MIEGE Jean-Louis;Paris;Puf;1973;432;Histoire moderne;21824
940/15;Les révolutions (1770-1799);GODECHOT Jacques;Paris;Puf;1963;448;Histoire de l'Europe: période révolutionnaire;21821
940/16;L'Europe culturelle et religieuse de 1815 à nos jours;GERBOD Paul;Paris;Puf;1977;384;Histoire de l'Europe;21665
940/17;28 siècles d'Europe: la conscience européenne à travers les textes (d'Hésiode à nos jours);ROUGEMONT Denis de;Paris;Ch. de Bartill;1990;436;Histoire de l'Europe;24033
940/18;Les templiers;PERNOUD Regine;Paris;Puf;1977;128;Histoire de moyen âge: les templiers;2043
940/ 15/../08t6.;Les soviets: l'union soviétique de Lénine à Staline (1917-1953). t6;CARRERE D'Encausse Hélène;Paris;Richelieu;1972;450;Histoire moderne;421
940/ 15/../08t9.;Les palais de la paix: société des nations et organisation des Nations-Unies. t9;GERBET Pierre;Paris;Richelieu;1973;416;Histoire moderne;424
940 04/14 /05.;La notion de liberté au moyen âge: Islam, Byzance, Occident;MAKDISI George. SOURDEL Dominique. SOURDEL Thomine janine;Paris;Les Belles Lettres;1985;287;Histoire du moyen-âge;16328
940 04/14 /17.;La notion d'autorité au moyen âge: Islam, Byzance, Occident;  ;Paris;Puf;1982;188;Histoire du moyen-âge;22632
940 04/14 /06.;Gilles de raîs: et le déclin du moyen-âge;HERUBEL Michel;Paris;Lap;1982;384;Histoire du moyen-âge;15404
940 04/14 /07.;L'édit de Nantes et sa révocation: histoire d'une intolérance;GARRISSON Janine;Paris;Seuil;1985;314;Histoire du moyen-âge;16214
940 04/14 /08.;Le moyen-âge retrouvé: l'an mil à l'an 1200;GRODECKI Louis;Paris;Flammarion;1986;614;Histoire du moyen-âge;16554
940 04/14 /09.;Les soulèvements populaires au moyen âge;FOURQUIN Guy;Paris;Puf;1972;216;Histoire du moyen-âge;17488
940 04/14 /10.;L'état au moyen-âge;FEDOU René;Paris;Puf;1971;212;Histoire du moyen-âge;17578
940 04/14 /11.;Le clan familial au moyen âge;HEERS Jacques;Paris;Puf;1974;272;Histoire du moyen-âge;17505
940 04/14 /12.;Technologie médiévale et transformations sociales;WHITE Lynn;Paris;Mouton;1969;175;Histoire du moyen-âge;11079
940 04/14 /14.;La fable mystique XVIè XVII siècle;DE CERTEAU Michel;Paris;Gallimard;1982;418;Histoire du moyen-âge;8823
940 04/14 /15.;Conquête et exploitation des nouveaux mondes (XVIè siècle);CHAUNU Pierre;Paris;Puf;1969;448;Histoire du moyen-âge;22634
940 04/14 /15bis.;Conquête et exploitation des nouveaux mondes (XVIè siècle);CHAUNU Pierre;Paris;Puf;1969;448;Histoire du moyen-âge;22994
940 04/14 /04.;L'image de l'autre: histoire de l'occident médiéval face à l'Islam;SENAC Philippe;;Flammarion;1983;179;Histoire du Moyen Age;13323
940 04 /14/16.;Expansion européenne et décolonisation de 1870 à nos jours;MIEGE Jean-Louis;Paris;Puf;1973;432;Histoire du moyen-âge;22997
940 15/... /04.;Le dernier quart du siècle;FONTAINE André;Paris;Fayard;1976;274;Histoire moderne;11223
940 15/... /05.;L'avènement des temps modernes;MARGOLIN Jean-Claude;Paris;Puf;1977;772;Histoire moderne;17589
940 15/... /06.;L'Europe et le monde XVIè, XVIIè, XVIIIè siècles;LEBRUN François;Paris;A. Colin;1987;352;Histoire moderne;18215
940 15/... /07t10.;Etudes sur le XVIIIè siècle. t10;MORTIER Roland. HASQUIN Hervé (éd);Belgique;E.u.b;1983;186;Histoire moderne;17612
940 15/... /01.;L'historien en cet instant;CHAUNU Pierre;;Hachette;1985;372;Histoire moderne: Europe;14856
940 15/... /02.;L'Europe ou la mort;PONIATOWSKI Michel;Paris;J. Albin;1984;262;Histoire moderne;13781
940 15/... /03.;La fin de la renaissance;FREUD Julien;Paris;Puf;1980;160;Histoire moderne;14386
940 15/... /08t1.;La France de la belle époque: la France et les français (1900-1914). t1;DUROSELLE Jean-Baptiste;Paris;Richelieu;1972;418;Histoire moderne;418
940 15 /08t10.;Histoire de la radio et de la télévision culture ou politique. t10;MIQUEL Pierre;Paris;Richelieu;1972;418;Histoire moderne;427
940 15/... /08t2.;Histoire de la grande guerre: la France et les français (1914-1920). t2;DUROSELLE Jean-Baptiste;Paris;Richelieu;1972;402;Histoire moderne;426
940 15/... /08t3.;L'Allemagne de Guillaume II à Hidenburg (1900-1933): un empire une défaite. t3;POIDEVIN Raymond;Paris;Richelieu;1972;418;Histoire moderne;419
940 15/... /08t4.;Hitler et l'Allemagne nazie: l'Allemagne nationale-socialiste (1933-1945). t4;STEINERT Marlis;Paris;Richelieu;1972;402;Histoire moderne;422
940 15/... /08t5.;Le fascisme au XXè siècle: la liberté en question. t5;MILZA Pierre;Paris;Richelieu;1973;418;Histoire moderne;423
940 15/... /08t7.;L'Amérique Latine au XXè siècle (1889-1929): évolution et révolutions. t7;MANIGAT Leslie;Paris;Richelieu;1973;418;Histoire moderne;425
940 15/... /08t8.;Les Etats-Unis: l'avènement d'une puissance mondiale (1898-1933). t8;NOUAILHAT Yves-Henri;Paris;Richelieu;1973;418;Histoire moderne;420
940 15/... _4_/01.;Révoltes et révolutions dans l'Europe moderne XVIè XVIIè siècles;BERCE Yves-Marie;Paris;Puf;1980;263;Histoire moderne;17509
940 04/14 /12bis.;Technologie médiévale et transformations sociales;WHITE Lynn;Paris;Mouton;1969;190;Histoire de moyen âge;23895
941.0/01;La formation de la classe ouvrière anglaise;THOMPSON Edward;Paris;Seuil;1988;784;Histoire de la grande Bretagne;21260
941.0//22/01;Religion et société en Angleterre: de la réforme à nos jours;MARX Roland;Paris;Puf;1978;208;Histoire religieuse de l'Angleterre;17473
941/01;Les îles anglo-normandes;GUILOT Claude;Paris;Puf;1975;128;Histoire individuelle des états et pays;1174
941/02;Le Saint-Esprit;NOEL Jean-François;Paris;Puf;1976;126;Histoire individuelle des états et pays;1343
941/03;La Bulgarie;CASTELLAN Georges;Paris;Puf;1976;128;Histoire individuelle des états et pays;1178
941/04;L'ère victorienne;BEDARIDA François;Paris;Puf;1979;128;Histoire individuelle des états et pays;2372
941/05;La Tchécoslovaquie;BERENGER Jean;Paris;Puf;1978;127;Histoire individuelle des états et pays;2717
941/06;L'Espagne musulmane au temps des Nasrides (1232-1492);ARIE Rachel;Paris;Boccard;1973;542;Histoire individuelle des états et pays;4495
941/07;Structures sociales  orientales  et  occidentales  dans l'Espagne musulmane.;GUICHARD Pierre;Paris;Mouton;1977;427;Histoire individuelle des états et pays;4539
941/08;La France dans le monde actuel;DOLLOT Louis;Paris;Puf;1975;128;Histoire individuelle des états et pays;2569
941/09;Histoire de Paris;LAVEDAN Pierre;Paris;Puf;1977;127;Histoire individuelle des états et pays;2337
941/10;Venise au siècle des lumières;GEORGELIN Jean;Paris;Mouton;1978;1225;Histoire individuelle des états et pays européennes;8504
941/11;Histoire de la Grande Bretagne;MARX Roland;Paris;A. Colin;1980;394;Histoire individuelle des états et pays;9286
941/12;Histoire de la civilisation française: Moyen-Age, XVIè siècle. t1;DUBY Georges;Paris;A. Colin;1968;350;Histoire individuelle des états et pays;9325
941/13;Histoire de la civilisation française: XVIIè-XXè siècle. t2;DUBY Georges;Paris;A. Colin;1976;400;Histoire individuelle des états et pays;9284
941/14;L'allemagne 1870-1970;BERSTEIN Serge. MILZA Pierre;Paris;Masson;1971;223;Histoire individuelle des états et pays;9365
941/15;L'enfant et la vie familiale sous l'ancien régime;ARIES Philippe;Paris;Seuil;1973;318;Histoire individuelle des états et pays;9311
941/16;La mort au siècle des lumières;FAVRE Robert;Paris;Puf;1900;641;Histoire individuelle des états et pays;9258
941/17;Gênes et l'outre-mer. t1: les actes de Caffa du notaire Lamberto Di Sambuceto 1289-1290;BALARD M;Paris;Mouton;1973;420;Histoire individuelle des états et pays;8515
941/18;Guillaume le conquérant;BOUARD Michel de;Paris;Puf;1966;128;Biographie de guillaume le conquérant;2378
943.0/01;Les allemands sans miracle;  ;Paris;A. Colin;1983;288;Histoire de l'Allemagne;14574
943.9/01;Requiem pour un empire défunt: histoire de la destruction de l'Autriche Hongrie;FEJTO François;Paris;Lieu commun;1988;440;Hongrie;20735
944:336.7/01;Banquiers, négociants et manufacturiers parisiens du directoire à l'emprise;BERGERON Louis;Paris;Mouton;1978;444;France;8516
944/01;Initiation à l'histoire de la France;GOUBERT Pierre;Paris;Tallandier;1984;283;France;13585
944/02;La vie quotidienne en province et à Paris pendant les journées de 1848;VIGIER Philippe;Paris;Hachette;1982;433;France;11102
944/04t1;L'identité de la France: espace et histoire;BRAUDEL Fernand;Paris;Flammarion;1986;368;Histoire de la France;16346
944/05;La victoire ou la mort: histoire de Robes-Pierre et la révolution;FRERE Jean-Claude;Paris;Flammarion;1983;462;Histoire de la France;13341
944/06;Les libéraux français (1814-1875);GIRARD Louis;Paris;Aubier;1985;278;Histoire de la France;14858
944/07;Louis XIV: roi de gloire (1638_1715);LABATUT Jean-Pierre;Paris;Imprimerie nationale;1984;400;Biographie;17592
944/08;Les images de la révolution française;VOVELLE Michel;Paris;Pub. de la Sorbonne;1988;399;France;19255
944/09;Histoire sincère de la nation française;SEIGNOBOS Charles;Paris;Puf;1982;346;France;19463
944/10;Paysans de l'ouest;BOIS Paul;Paris;Flammarion;1971;384;France;19332
944/11;De l'Océanie au pacifique: histoire et enjeux;LACOUR Pierre;Paris;France;1987;192;Histoire de la France;21149
944/12t1;Histoire des français XIXè-XXè siècles: un peuple et son pays. t1;LEQUIN Yves;Paris;A. Colin;1984;594;Histoire de la France;13903
944/12t2;Histoire des français XIXè-XXè siècles: la société. t2;LEQUIN Yves;Paris;A. Colin;1900;626;Histoire de la France;13904
944/12t3;Histoire des français XIXè-XXè siècles: les citoyens et la démocratie. t3;LEQUIN Yves;Paris;A. Colin;1984;528;Histoire de la France;13905
944/13t1;Histoire économique et sociale de la France: de 1450 à 1660: l'état et la ville;CHAUNU Pierre. GASCON Richard;Paris;Puf;1977;498;Histoire de la France;14620
944/13t2;Histoire économique et sociale de la France: des derniers temps de l'âge seigneurial aux préludes de l'âge industriel. t2;  ;Paris;Puf;1970;786;Histoire de la France;14621
944/13t3;Histoire économique et sociale de la France: l'avènement de l'ère industrielle (1789-1880). t3;  ;Paris;Puf;1976;1078;Histoire de la France;14622
944/13t4;Histoire économique et sociale de la France: l'ère industrielle et la société d'aujourd'hui. t4;  ;Paris;Puf;1982;1840;Histoire de la France;14623
944/14;Le révolution française et la fin des colonies: essai;BENOT Yves;Paris;La Découverte;1987;276;France;20733
944/15;Intellectuels et passions françaises: manifestes et pétitions au XXè siècle;SIRINELLI Jean-François;Paris;Fayard;1990;372;France;21329
944/16;Histoire vagabonde I: ethnologie et politique dans la France contemporaine;AGULHON Maurice;Paris;Gallimard;1988;328;France;20731
944/16bis;Histoire vagabonde II: idéologies et politique dans la France du XIXè siècle;AGULHON Maurice;Paris;Gallimard;1988;320;France;20732
944/17;La grande peur de 1789, suivi de : les foules révolutionnaires;LEFEBVRE Georges;Paris;A. Colin;1988;272;France;20782
944/18;Les caractères originaux de l'histoire rurale française;BLOCH Marc;Paris;A. Colin;1988;320;France;20781
944/19;Les institutions de la France sous la révolution et l'empire;GODECHOT Jacques;Paris;Puf;1951;804;Histoire de France;21944
944/22;Lettre au président de la mission du bicentenaire;CONDORCET;Paris;Quai Voltaire;1989;40;France;22365
944/20;De Gaulle ou la France en général;FROSSARD André;Paris;Plon;1989;256;Histoire de France;22992
944/21;Au coeur religieux du XVIè. siècle;FEBVRE Lucien;Paris;E.h.e.s.s;1983;475;Histoire de la France;14661
944/960/03;Français et africains: les noirs dans le regard des blancs 1530-1880;COHEN William B;;Gallimard;1980;409;Histoire de France;14610
945/01;Histoire et société en Italie;BUSINO Giovanni;Genève;Droz;1972;216;Histoire de l'Italie;15376
945/02;De Machiavel à Benedetto Croce;CHABOD Federico;Genève;Droz;1970;344;Italie;15348
945/03;L'italie et la Palestine 1914-1920;MINERBI Sergio;Paris;Puf;1970;300;Histoire d'Italie;17451
946_297_/01;A history of islamic sapain;WATT W. Montgomery. CACHIA Pierre;;Eup;1977;185;Histoire d'Espagne;11839
946:297/01;L'Espagne musulmane;SANCHEZ-ALBORNOZ C;;Opu;1985;434;Espagne;15106
946/01;Agronomes andalous du moyen-âge;BOLENS Lucie;Genève;Droz;1981;305;Histoire de l'Espagne;14511
946/04t1;Histoire des espagnols: VIè-XVIIè siècle. t1;BENNASSAR Bartolome;Paris;A. Colin;1985;562;Histoire de l'Espagne;16303
946/04t2;Histoire des espagnols: XVIIè-XXè siècle. t2;BENNASSAR Bartolome;Paris;A. Colin;1985;560;Histoire de l'Espagne;16304
946/05;L'Espagne au XXè siècle;HERMET Guy;Paris;Puf;1986;320;Histoire de l'Espagne;16325
946/06;Théologiens et juristes de l'Espagne musulmane: aspects polémiques;TURKI Abdel Magid;Paris;Maisonneuve / Larose;1982;376;Espagne;16374
946/07;1900 en Espagne (essai d'histoire culturelle);  ;Bordeaux;Pub;1988;192;Espagne;20635
946/08;L'Espagne au moyen âge;LEROY Beatrice;Paris;A. Michel;1988;280;Histoire d'Espagne;21154
946/09;Minorités et marginalités en Espagne et en Amérique Latine au XIXèm siècle;DUMAS Claude;Lille;Pul;1990;256;Espagne;23763
947/01;Lénine: la révolution et le pouvoir;ENCAUSSE Hélène Carrére;Paris;Flammarion;1979;299;Russie. URSS;8794
947/02;L'utopie au pouvoir: histoire de l'URSS de 1917 à nos jours;HELLER Michel. NEKRICH Aleksandr;Montrond;C. Lévy;1982;643;Russie. URSS;11640
947/03;Staline;ELLEINSTEIN Jean;;Fayard;1984;542;Russie. URSS;13577
947/04;L'arménie, l'Azerbaidjan et la Géorgie: de l'indépendance à l'instauration du pouvoir soviétique (1917-1923);AFANASYAN Serge;Paris;L'Harmattan;1981;268;Histoire de la russie;14414
947/05t1;La révolution bolchevique (1917-1923): la formation de l'URSS;CARR Edward Hallet;Paris;Minuit;1969;456;Russie;15426
947/05t2;La révolution bolchevique (1917-1923): l'ordre économique. t2;CARR Edward Hallet;Paris;Minuit;1974;430;Russie;15427
947/05t3;La révolution bolchevique. t3: la russe soviétique et le monde;CARR Edward Hallet;Paris;Minuit;1974;618;Russie. URSS;15428
947/06;Le XXè siècle en URSS;TROTIGNON Yves;Paris;Bordas;1985;336;URSS;16729
947/07;Histoire de la dissidence: oppositions et révoltes en URSS et dans les démocraties populaires de la mort de Staline à nos jours;CHIAMA Jean. SOULET Jean-François;Paris;Seuil;1982;512;URSS;21771
947/08;Le stalinisme: origines, histoire, conséquences;MEDVEDEV Roy;Paris;Seuil;1972;640;URSS;21782
947/09;L'histoire de russie aux archives nationales;LESURE Michel;Paris;Mouton;1970;504;Histoire de URSS;21801
947/10;Sultan Galiev: le père de la révolution Tiers-Mondiste;BENNIGSEN Alexandre;Paris;Fayard;1986;310;Russie;16809
949.6/01;L'empire ottoman du XVIè au XVIIIè siècle: administration, économie, société;MENTRAN Robert;London;Variorum reprint;1984;0;Turquie;16547
949.6/02;La politique turque en Afrique du Nord sous la monarchie de juillet;SERRES Jean;Paris;Geuthner;1925;392;Turquie;19253
949.6/03;Histoire de l'empire ottoman;MANTRAN Robert;Paris;Fayard;1989;812;Turquie;20109
